number;name;address;latitude;longitude;idstation;ville
53.0;#00053-LUDWIG VAN BEETHOVEN;- LUDWIG VAN BEETHOVEN - RUE LUDWIG VAN BEETHOVEN ( DEVANT N° 45 );49.59;6.1172;1;luxembourg
134.0;#00134-STADE HENRI-DUNANT;Rue Henri Dunant x Rue de Bastogne;49.646906;6.134279;2;luxembourg
24.0;#00024-WEICKER;WEICKER - AVENUE JF KENNEDY / RUE ALPHONSE WEICKER;49.631952;6.17048;3;luxembourg
126.0;#00126-SALLES DES FÊTES HOLZEM;Route de Garnich 3;49.615901;5.993194;4;luxembourg
102.0;#00102-FENTANGE HIEHL;FENTANGE HIEHL - RUE DE BETTEMBOURG DEVANT N°75;49.567771;6.152463;5;luxembourg
144.0;#00144-WALFERDANGE GARE;Rue de la Gare 19 - Terminus Bus;49.66151;6.135785;6;luxembourg
88.0;#00088-SERRA;SERRA - AVENUE J.F. KENNEDY / CIRCUIT DE LA FOIRE (Arrêt Luxexpo);49.6354391284749;6.17623092845448;7;luxembourg
6.0;#00006-AL BRÉCK;AL BRÉCK - VIADUC / BOULEVARD DE LA PETRUSSE;49.60481;6.133404;8;luxembourg
97.0;#00097-HELFENT (PARKING);Rue de Luxembourg/Route de Longwy;49.603644;6.077783;9;luxembourg
47.0;#00047-LEOPOLD GOEBEL;LEOPOLD GOEBEL - ALLEE LEOPOLD GOEBEL ( DEVANT N° 109 );49.6122;6.1072;10;luxembourg
89.0;#00089-PLACE THORN;Place Thorn/Bd Marcel Cahen ,50m avant rue Béatrix;49.60361;6.10278;11;luxembourg
33.0;#00033-K. ADENAUER;K. ADENAUER - BOULEVARD KONRAD ADENAUER ( DEVANT BEI );49.620586;6.138998;12;luxembourg
85.0;#00085-EINSTEIN;Rue Albert Einstein/Bd de Kockelscheuer;49.5842;6.1249;13;luxembourg
17.0;#00017-ROBERT SCHUMAN;ROBERT SCHUMAN - SQUARE SCHUMAN;49.616669;6.126069;14;luxembourg
94.0;#00094-HAMM-COLONIE;Rue de Hamm/Rue des pruniers;49.606983;6.154863;15;luxembourg
11.0;#00011-WINSTON CHURCHILL;WINSTON CHURCHILL - PLACE CHURCHILL;49.611317;6.120003;16;luxembourg
23.0;#00023-REIMERWEE;REIMERWEE - BOULEVARD K ADENAUER / RUE K KALERGI;49.629448;6.157348;17;luxembourg
108.0;#00108-EDELECK;EDELECK - RUE DE LUXEMBOURG / EDELECK;49.565477;6.079436;18;luxembourg
137.0;#00137-PARC GASPERICH;PARC GASPERICH-RUE CHARLES DARWIN x RUE FRANCOIS HOGENBERG;49.586766;6.122404;19;luxembourg
